text,Label,text_cleaning,text_casefolding,text_tokenizing,text_normalizing,text_SR,text_stemming
"Pada 2020, #UangKita sebesar Rp489,1T disalurkan untuk sektor pendidikan.

Di masa pandemi, Bantuan Kuota Internet langsung diberikan kepada siswa dan pengajar untuk mendukung Pembelajaran Jarak Jauh. https://t.co/eYOEin5Rrw",Positif,Pada sebesar RpT disalurkan untuk sektor pendidikan Di masa pandemi Bantuan Kuota Internet langsung diberikan kepada siswa dan pengajar untuk mendukung Pembelajaran Jarak Jauh,pada sebesar rpt disalurkan untuk sektor pendidikan di masa pandemi bantuan kuota internet langsung diberikan kepada siswa dan pengajar untuk mendukung pembelajaran jarak jauh,"['pada', 'sebesar', 'rpt', 'disalurkan', 'untuk', 'sektor', 'pendidikan', 'di', 'masa', 'pandemi', 'bantuan', 'kuota', 'internet', 'langsung', 'diberikan', 'kepada', 'siswa', 'dan', 'pengajar', 'untuk', 'mendukung', 'pembelajaran', 'jarak', 'jauh']","['pada', 'sebesar', 'rpt', 'disalurkan', 'untuk', 'sektor', 'pendidikan', 'di', 'masa', 'pandemi', 'bantuan', 'kuota', 'internet', 'langsung', 'diberikan', 'kepada', 'siswa', 'dan', 'pengajar', 'untuk', 'mendukung', 'pembelajaran', 'jarak', 'jauh']","['rpt', 'disalurkan', 'sektor', 'pendidikan', 'pandemi', 'bantuan', 'kuota', 'internet', 'langsung', 'siswa', 'pengajar', 'mendukung', 'pembelajaran', 'jarak']",rpt salur sektor didik pandemi bantu kuota internet langsung siswa ajar dukung ajar jarak
"#IndoFKP minggu depan akan membahas studi oleh peneliti @bps_statistics yg berupaya memetakan potensi penggunaan TIK untuk pembelajaran jarak jauh di 34 provinsi di Indonesia.
Kamis, 24 Juni 2021 jam 10am WIB (11am WITA)
https://t.co/yixe937dws",Positif,minggu depan akan membahas studi oleh peneliti statistics yg berupaya memetakan potensi penggunaan TIK untuk pembelajaran jarak jauh di provinsi di Indonesia Kamis Juni jam am WIB am WITA,minggu depan akan membahas studi oleh peneliti statistics yg berupaya memetakan potensi penggunaan tik untuk pembelajaran jarak jauh di provinsi di indonesia kamis juni jam am wib am wita,"['minggu', 'depan', 'akan', 'membahas', 'studi', 'oleh', 'peneliti', 'statistics', 'yg', 'berupaya', 'memetakan', 'potensi', 'penggunaan', 'tik', 'untuk', 'pembelajaran', 'jarak', 'jauh', 'di', 'provinsi', 'di', 'indonesia', 'kamis', 'juni', 'jam', 'am', 'wib', 'am', 'wita']","['minggu', 'depan', 'akan', 'membahas', 'studi', 'oleh', 'peneliti', 'statistics', 'yang', 'berupaya', 'memetakan', 'potensi', 'penggunaan', 'tik', 'untuk', 'pembelajaran', 'jarak', 'jauh', 'di', 'provinsi', 'di', 'indonesia', 'kamis', 'juni', 'jam', 'am', 'wib', 'am', 'wita']","['minggu', 'membahas', 'studi', 'peneliti', 'statistics', 'berupaya', 'memetakan', 'potensi', 'penggunaan', 'tik', 'pembelajaran', 'jarak', 'provinsi', 'indonesia', 'kamis', 'juni', 'jam', 'am', 'wib', 'am', 'wita']",minggu bahas studi teliti statistics upaya meta potensi guna tik ajar jarak provinsi indonesia kamis juni jam am wib am wita
"Pandemi #COVID19 menyebabkan metode pembelajaran dialihkan ke pembelajaran jarak jauh, termasuk secara daring. Namun ada terkendala kondisi sosial ekonomi rumah tangga di sisi demand, dan ketersediaan infrastruktur teknologi informasi dan komunikasi (TIK) di sisi supply.",Negatif,Pandemi menyebabkan metode pembelajaran dialihkan ke pembelajaran jarak jauh termasuk secara daring Namun ada terkendala kondisi sosial ekonomi rumah tangga di sisi demand dan ketersediaan infrastruktur teknologi informasi dan komunikasi TIK di sisi supply,pandemi menyebabkan metode pembelajaran dialihkan ke pembelajaran jarak jauh termasuk secara daring namun ada terkendala kondisi sosial ekonomi rumah tangga di sisi demand dan ketersediaan infrastruktur teknologi informasi dan komunikasi tik di sisi supply,"['pandemi', 'menyebabkan', 'metode', 'pembelajaran', 'dialihkan', 'ke', 'pembelajaran', 'jarak', 'jauh', 'termasuk', 'secara', 'daring', 'namun', 'ada', 'terkendala', 'kondisi', 'sosial', 'ekonomi', 'rumah', 'tangga', 'di', 'sisi', 'demand', 'dan', 'ketersediaan', 'infrastruktur', 'teknologi', 'informasi', 'dan', 'komunikasi', 'tik', 'di', 'sisi', 'supply']","['pandemi', 'menyebabkan', 'metode', 'pembelajaran', 'dialihkan', 'ke', 'pembelajaran', 'jarak', 'jauh', 'termasuk', 'secara', 'daring', 'namun', 'ada', 'terkendala', 'kondisi', 'sosial', 'ekonomi', 'rumah', 'tangga', 'di', 'sisi', 'demand', 'dan', 'ketersediaan', 'infrastruktur', 'teknologi', 'informasi', 'dan', 'komunikasi', 'tik', 'di', 'sisi', 'supply']","['pandemi', 'menyebabkan', 'metode', 'pembelajaran', 'dialihkan', 'pembelajaran', 'jarak', 'daring', 'terkendala', 'kondisi', 'sosial', 'ekonomi', 'rumah', 'tangga', 'sisi', 'demand', 'ketersediaan', 'infrastruktur', 'teknologi', 'informasi', 'komunikasi', 'tik', 'sisi', 'supply']",pandemi sebab metode ajar alih ajar jarak daring kendala kondisi sosial ekonomi rumah tangga sisi demand sedia infrastruktur teknologi informasi komunikasi tik sisi supply
"Halo, Sahabat Budaya! Sejak diumumkannya penyelenggaraan Pembelajaran Jarak Jauh (PJJ) untuk mencegah penyebaran COVID-19 di Indonesia, banyak sekali dinamika yang terjadi di Kampus Makara. https://t.co/Db4kBjCq7p",Negatif,Halo Sahabat Budaya Sejak diumumkannya penyelenggaraan Pembelajaran Jarak Jauh PJJ untuk mencegah penyebaran COVID di Indonesia banyak sekali dinamika yang terjadi di Kampus Makara,halo sahabat budaya sejak diumumkannya penyelenggaraan pembelajaran jarak jauh pjj untuk mencegah penyebaran covid di indonesia banyak sekali dinamika yang terjadi di kampus makara,"['halo', 'sahabat', 'budaya', 'sejak', 'diumumkannya', 'penyelenggaraan', 'pembelajaran', 'jarak', 'jauh', 'pjj', 'untuk', 'mencegah', 'penyebaran', 'covid', 'di', 'indonesia', 'banyak', 'sekali', 'dinamika', 'yang', 'terjadi', 'di', 'kampus', 'makara']","['halo', 'sahabat', 'budaya', 'sejak', 'diumumkannya', 'penyelenggaraan', 'pembelajaran', 'jarak', 'jauh', 'pjj', 'untuk', 'mencegah', 'penyebaran', 'covid', 'di', 'indonesia', 'banyak', 'sekali', 'dinamika', 'yang', 'terjadi', 'di', 'kampus', 'makara']","['halo', 'sahabat', 'budaya', 'diumumkannya', 'penyelenggaraan', 'pembelajaran', 'jarak', 'pjj', 'mencegah', 'penyebaran', 'covid', 'indonesia', 'dinamika', 'kampus', 'makara']",halo sahabat budaya umum selenggara ajar jarak pjj cegah sebar covid indonesia dinamika kampus makara
"Sebanyak 19 mahasiswa menggugat Politeknik Keuangan Negara STAN (PKN STAN) karena melakukan drop out (DO) kepada 69 mahasiswa, selama masa pembelajaran jarak jauh (PJJ) akibat pandemik COVID-19 pada 17 Maret 2021.

Selengkapnya https://t.co/CoH5PEb3S9 https://t.co/3vy4j2YKdg",Negatif,Sebanyak mahasiswa menggugat Politeknik Keuangan Negara STAN PKN STAN karena melakukan drop out DO kepada mahasiswa selama masa pembelajaran jarak jauh PJJ akibat pandemik COVID pada Maret Selengkapnya,sebanyak mahasiswa menggugat politeknik keuangan negara stan pkn stan karena melakukan drop out do kepada mahasiswa selama masa pembelajaran jarak jauh pjj akibat pandemik covid pada maret selengkapnya,"['sebanyak', 'mahasiswa', 'menggugat', 'politeknik', 'keuangan', 'negara', 'stan', 'pkn', 'stan', 'karena', 'melakukan', 'drop', 'out', 'do', 'kepada', 'mahasiswa', 'selama', 'masa', 'pembelajaran', 'jarak', 'jauh', 'pjj', 'akibat', 'pandemik', 'covid', 'pada', 'maret', 'selengkapnya']","['sebanyak', 'mahasiswa', 'menggugat', 'politeknik', 'keuangan', 'negara', 'stan', 'pkn', 'stan', 'karena', 'melakukan', 'drop', 'out', 'do', 'kepada', 'mahasiswa', 'selama', 'masa', 'pembelajaran', 'jarak', 'jauh', 'pjj', 'akibat', 'pandemik', 'covid', 'pada', 'maret', 'selengkapnya']","['mahasiswa', 'menggugat', 'politeknik', 'keuangan', 'negara', 'stan', 'pkn', 'stan', 'drop', 'out', 'do', 'mahasiswa', 'pembelajaran', 'jarak', 'pjj', 'akibat', 'pandemik', 'covid', 'maret', 'selengkapnya']",mahasiswa gugat politeknik uang negara stan pkn stan drop out do mahasiswa ajar jarak pjj akibat pandemik covid maret lengkap
"Anak-anak kembali kesekolah dihari senin ini masih dengan sistem pembelajaran jarak jauh.

Duh, rasanya ingin deh segera anak-anak bersekolah normal kembali agar tidak terlalu sering matanya menatap gadget yang dapat menyebabkan mata minus. https://t.co/0Hr35GU5HN",Negatif,Anakanak kembali kesekolah dihari senin ini masih dengan sistem pembelajaran jarak jauh Duh rasanya ingin deh segera anakanak bersekolah normal kembali agar tidak terlalu sering matanya menatap gadget yang dapat menyebabkan mata minus,anakanak kembali kesekolah dihari senin ini masih dengan sistem pembelajaran jarak jauh duh rasanya ingin deh segera anakanak bersekolah normal kembali agar tidak terlalu sering matanya menatap gadget yang dapat menyebabkan mata minus,"['anakanak', 'kembali', 'kesekolah', 'dihari', 'senin', 'ini', 'masih', 'dengan', 'sistem', 'pembelajaran', 'jarak', 'jauh', 'duh', 'rasanya', 'ingin', 'deh', 'segera', 'anakanak', 'bersekolah', 'normal', 'kembali', 'agar', 'tidak', 'terlalu', 'sering', 'matanya', 'menatap', 'gadget', 'yang', 'dapat', 'menyebabkan', 'mata', 'minus']","['anakanak', 'kembali', 'kesekolah', 'dihari', 'senin', 'ini', 'masih', 'dengan', 'sistem', 'pembelajaran', 'jarak', 'jauh', 'duh', 'rasanya', 'ingin', 'deh', 'segera', 'anakanak', 'bersekolah', 'normal', 'kembali', 'agar', 'tidak', 'terlalu', 'sering', 'matanya', 'menatap', 'gadget', 'yang', 'dapat', 'menyebabkan', 'mata', 'minus']","['anakanak', 'kesekolah', 'dihari', 'senin', 'sistem', 'pembelajaran', 'jarak', 'duh', 'deh', 'anakanak', 'bersekolah', 'normal', 'matanya', 'menatap', 'gadget', 'menyebabkan', 'mata', 'minus']",anakanak seko hari senin sistem ajar jarak duh deh anakanak sekolah normal mata tatap gadget sebab mata minus
"@mba_diahworo Apalagi buat saya yang punya anak baru mau masuk TK

Pembelajaran secara jarak jauh sangat gak efektif di usia mereka",Negatif,diahworo Apalagi buat saya yang punya anak baru mau masuk TK Pembelajaran secara jarak jauh sangat gak efektif di usia mereka,diahworo apalagi buat saya yang punya anak baru mau masuk tk pembelajaran secara jarak jauh sangat gak efektif di usia mereka,"['diahworo', 'apalagi', 'buat', 'saya', 'yang', 'punya', 'anak', 'baru', 'mau', 'masuk', 'tk', 'pembelajaran', 'secara', 'jarak', 'jauh', 'sangat', 'gak', 'efektif', 'di', 'usia', 'mereka']","['diahworo', 'apalagi', 'buat', 'saya', 'yang', 'punya', 'anak', 'baru', 'mau', 'masuk', 'tk', 'pembelajaran', 'secara', 'jarak', 'jauh', 'sangat', 'tidak', 'efektif', 'di', 'usia', 'mereka']","['diahworo', 'anak', 'masuk', 'tk', 'pembelajaran', 'jarak', 'efektif', 'usia']",diahworo anak masuk tk ajar jarak efektif usia
"""Sebanyak 33 persen dari 435.650 sekolah mulai dari tingkat PAUD hingga SMA/SMK sudah menerapkan PTM terbatas. Sedangkan 67 persen lainnya masih menerapkan pembelajaran jarak jauh,"" kata Sri Wahyuningsih. 

https://t.co/qunWowCt1b",Positif,Sebanyak persen dari sekolah mulai dari tingkat PAUD hingga SMASMK sudah menerapkan PTM terbatas Sedangkan persen lainnya masih menerapkan pembelajaran jarak jauh kata Sri Wahyuningsih,sebanyak persen dari sekolah mulai dari tingkat paud hingga smasmk sudah menerapkan ptm terbatas sedangkan persen lainnya masih menerapkan pembelajaran jarak jauh kata sri wahyuningsih,"['sebanyak', 'persen', 'dari', 'sekolah', 'mulai', 'dari', 'tingkat', 'paud', 'hingga', 'smasmk', 'sudah', 'menerapkan', 'ptm', 'terbatas', 'sedangkan', 'persen', 'lainnya', 'masih', 'menerapkan', 'pembelajaran', 'jarak', 'jauh', 'kata', 'sri', 'wahyuningsih']","['sebanyak', 'persen', 'dari', 'sekolah', 'mulai', 'dari', 'tingkat', 'paud', 'hingga', 'smasmk', 'sudah', 'menerapkan', 'ptm', 'terbatas', 'sedangkan', 'persen', 'lainnya', 'masih', 'menerapkan', 'pembelajaran', 'jarak', 'jauh', 'kata', 'sri', 'wahyuningsih']","['persen', 'sekolah', 'tingkat', 'paud', 'smasmk', 'menerapkan', 'ptm', 'terbatas', 'persen', 'menerapkan', 'pembelajaran', 'jarak', 'sri', 'wahyuningsih']",persen sekolah tingkat paud smasmk terap ptm batas persen terap ajar jarak sri wahyuningsih
Samsung Galaxy Tab A7 Lite Bikin Anak Sekolah Semakin Nyaman Jalani PJJ: Mobitekno – Pembelajaran jarak jauh (PJJ) sudah dilakukan oleh para pelajar di Indonesia […] https://t.co/OwlJsDDfc3 https://t.co/FX8k2nlW6B,Positif,Samsung Galaxy Tab  Lite Bikin Anak Sekolah Semakin Nyaman Jalani PJJ Mobitekno Pembelajaran jarak jauh PJJ sudah dilakukan oleh para pelajar di Indonesia,samsung galaxy tab  lite bikin anak sekolah semakin nyaman jalani pjj mobitekno pembelajaran jarak jauh pjj sudah dilakukan oleh para pelajar di indonesia,"['samsung', 'galaxy', 'tab', 'lite', 'bikin', 'anak', 'sekolah', 'semakin', 'nyaman', 'jalani', 'pjj', 'mobitekno', 'pembelajaran', 'jarak', 'jauh', 'pjj', 'sudah', 'dilakukan', 'oleh', 'para', 'pelajar', 'di', 'indonesia']","['samsung', 'galaxy', 'tab', 'lite', 'bikin', 'anak', 'sekolah', 'semakin', 'nyaman', 'jalani', 'pjj', 'mobitekno', 'pembelajaran', 'jarak', 'jauh', 'pjj', 'sudah', 'dilakukan', 'oleh', 'para', 'pelajar', 'di', 'indonesia']","['samsung', 'galaxy', 'tab', 'lite', 'anak', 'sekolah', 'nyaman', 'jalani', 'pjj', 'mobitekno', 'pembelajaran', 'jarak', 'pjj', 'pelajar', 'indonesia']",samsung galaxy tab lite anak sekolah nyaman jalan pjj mobitekno ajar jarak pjj ajar indonesia
"Fitur Bank Soal di Ruangbelajar Mengikuti pembelajaran jarak jauh atau belajar daring karena kebijakan pemerintah terkait penyebaran virus corona di Indonesia, siswa harus pandai-pandai mencari referensi materi. Selain materi dari guru atau sekolah, siswa juga bisa belajar dari— https://t.co/vmUIfwTTB2",Positif,Fitur Bank Soal di Ruangbelajar Mengikuti pembelajaran jarak jauh atau belajar daring karena kebijakan pemerintah terkait penyebaran virus corona di Indonesia siswa harus pandaipandai mencari referensi materi Selain materi dari guru atau sekolah siswa juga bisa belajar dari,fitur bank soal di ruangbelajar mengikuti pembelajaran jarak jauh atau belajar daring karena kebijakan pemerintah terkait penyebaran virus corona di indonesia siswa harus pandaipandai mencari referensi materi selain materi dari guru atau sekolah siswa juga bisa belajar dari,"['fitur', 'bank', 'soal', 'di', 'ruangbelajar', 'mengikuti', 'pembelajaran', 'jarak', 'jauh', 'atau', 'belajar', 'daring', 'karena', 'kebijakan', 'pemerintah', 'terkait', 'penyebaran', 'virus', 'corona', 'di', 'indonesia', 'siswa', 'harus', 'pandaipandai', 'mencari', 'referensi', 'materi', 'selain', 'materi', 'dari', 'guru', 'atau', 'sekolah', 'siswa', 'juga', 'bisa', 'belajar', 'dari']","['fitur', 'bank', 'soal', 'di', 'ruangbelajar', 'mengikuti', 'pembelajaran', 'jarak', 'jauh', 'atau', 'belajar', 'daring', 'karena', 'kebijakan', 'pemerintah', 'terkait', 'penyebaran', 'virus', 'corona', 'di', 'indonesia', 'siswa', 'harus', 'pandaipandai', 'mencari', 'referensi', 'materi', 'selain', 'materi', 'dari', 'guru', 'atau', 'sekolah', 'siswa', 'juga', 'bisa', 'belajar', 'dari']","['fitur', 'bank', 'ruangbelajar', 'mengikuti', 'pembelajaran', 'jarak', 'belajar', 'daring', 'kebijakan', 'pemerintah', 'terkait', 'penyebaran', 'virus', 'corona', 'indonesia', 'siswa', 'pandaipandai', 'mencari', 'referensi', 'materi', 'materi', 'guru', 'sekolah', 'siswa', 'belajar']",fitur bank ruangbelajar ikut ajar jarak ajar daring bijak perintah kait sebar virus corona indonesia siswa pandaipandai cari referensi materi materi guru sekolah siswa ajar
